"column-1","column-2 href","rankimg src","column-3","column-4","column-5"
"1","https://trees.gamemeca.com/blackdesertm/","https://trees.gamemeca.com/wp-content/uploads/2018/03/tree_ico_blackdesertm.png","검은사막 모바일","PEARL ABYSS","롤플레잉"
"2","https://trees.gamemeca.com/lineagem19/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_lineagem19.png","리니지M","NCSOFT Corporation","롤플레잉"
"3","https://trees.gamemeca.com/rom_aos/","https://trees.gamemeca.com/wp-content/uploads/2018/03/tree_rom_aos.png","라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","롤플레잉"
"4","https://trees.gamemeca.com/clashroyale/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_clashroyale.png","클래시 로얄","Supercell","전략"
"5","https://trees.gamemeca.com/aooni/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_aooni.png","좀비고등학교","AWESOMEPIECE","아케이드"
"6","https://trees.gamemeca.com/modoomarblekakao/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_ModooMarbleKakao.png","모두의마블 for kakao","Netmarble Games","보드"
"7","https://trees.gamemeca.com/lineageii/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_lineageII.png","리니지2 레볼루션","Netmarble Games","롤플레잉"
"8","https://trees.gamemeca.com/clashofclans/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_clashofclans.png","클래시 오브 클랜","Supercell","전략"
"9","https://trees.gamemeca.com/hearthstone/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_hearthstone.png","하스스톤","Blizzard Entertainment, Inc.","카드"
"10","https://trees.gamemeca.com/frmarble/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_frmarble.png","프렌즈마블 for kakao","Kakao Games Corp.","보드"
"11","https://trees.gamemeca.com/sknights/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_sknights.png","세븐나이츠 for kakao","Netmarble Games","롤플레잉"
"12","https://trees.gamemeca.com/overhit/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_overhit.png","오버히트","NEXON Company","롤플레잉"
"13","https://trees.gamemeca.com/snqx/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_snqx.png","소녀전선","X.D. Global","롤플레잉"
"14","https://trees.gamemeca.com/qy_google/","https://trees.gamemeca.com/wp-content/uploads/2018/03/tree_qy_google.png","삼국지M","Efun Company","전략"
"15","https://trees.gamemeca.com/maplem/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_maplem.png","메이플스토리M","NEXON Company","롤플레잉"
"16","https://trees.gamemeca.com/therings/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_therings.png","반지","ENP GAMES Co., Ltd.","롤플레잉"
"17","https://trees.gamemeca.com/grdchase/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_grdchase.png","그랜드체이스 for kakao","Kakao Games Corp.","롤플레잉"
"18","https://trees.gamemeca.com/gb/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_gb.png","쿠키런: 오븐브레이크","Devsisters Corporation","아케이드"
"19","https://trees.gamemeca.com/onepiecetresurecruisekr/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_onepiecetresurecruisekr.png","원피스 트레저 크루즈","BANDAI NAMCO Entertainment Inc.","롤플레잉"
"20","https://trees.gamemeca.com/tera/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_tera.png","테라M","Netmarble Games","롤플레잉"
"21","https://trees.gamemeca.com/yulgang/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_yulgang.png","열혈강호M","NEXON Company","액션"
"22","https://trees.gamemeca.com/friendspop/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_friendspop.png","프렌즈팝 for kakao","Kakao Games Corp.","퍼즐"
"23","https://trees.gamemeca.com/anipang3/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_anipang3.png","애니팡3 for kakao","SUNDAYTOZ, INC","퍼즐"
"24","https://trees.gamemeca.com/anipang2/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_anipang2.png","애니팡2 for kakao","SUNDAYTOZ, INC","퍼즐"
"25","https://trees.gamemeca.com/fgok/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_fgok.png","페이트/그랜드 오더","Netmarble Games","롤플레잉"
"26","https://trees.gamemeca.com/bh3korea/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_bh3korea.png","붕괴3rd","miHoYo Limited","액션"
"27","https://trees.gamemeca.com/estarskr/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_estarskr.png","앙상블스타즈 for kakao","Kakao Games Corp.","시뮬레이션"
"28","https://trees.gamemeca.com/friendsking/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_friendsKing.png","프랜즈팝콘 for kakao","Kakao Games Corp.","퍼즐"
"29","https://trees.gamemeca.com/ltyulgang/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_ltyulgang.png","열혈강호 for kakao","Longtu Korea Inc.","롤플레잉"
"30","https://trees.gamemeca.com/monster/","https://trees.gamemeca.com/wp-content/uploads/2018/02/tree_ico_monster.png","몬스터 길들이기","Netmarble Games","롤플레잉"